,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
2221,id_4_5_001352,2019-10-30 21:08:21.667879936,4858,1034,3484,25045.0
2222,id_4_6_001276,2019-10-30 19:46:57.153879040,4858,748,3484,20161.0
2223,id_4_6_001279,2019-10-30 19:56:03.680722176,4858,649,3484,20707.0
2224,id_4_6_001280,2019-10-30 19:56:03.680722176,4858,648,3484,20707.0
2225,id_4_6_001309_cov,2019-10-30 20:34:53.094802944,4859,606,3485,23037.0
2226,id_4_6_001317_cov,2019-10-30 20:39:58.547924736,4860,473,3486,23342.0
2227,id_4_6_001323_cov,2019-10-30 20:45:59.100528896,4861,562,3487,23703.0
2228,id_4_6_001341,2019-10-30 20:57:56.497770496,4861,858,3487,24420.0
2229,id_4_6_001353,2019-10-30 21:08:42.127687168,4861,551,3487,25066.0
2230,id_4_7_001275,2019-10-30 19:46:05.450366976,4861,932,3487,20109.0
2231,id_4_7_001285,2019-10-30 20:05:05.023614720,4861,1025,3487,21248.0
2232,id_4_7_001286,2019-10-30 20:05:05.027614720,4861,996,3487,21248.0
2233,id_4_7_001294,2019-10-30 20:08:11.345862656,4861,1399,3487,21435.0
2234,id_4_7_001305_cov,2019-10-30 20:22:30.641794560,4861,608,3487,22294.0
2235,id_4_7_001310,2019-10-30 20:35:53.558233088,4861,859,3487,23097.0
2236,id_4_7_001311,2019-10-30 20:35:53.558233088,4861,933,3487,23097.0
2237,id_4_7_001315_cov,2019-10-30 20:38:34.008721408,4863,826,3489,23257.0
2238,id_4_7_001321_cov,2019-10-30 20:44:31.161357056,4866,941,3492,23615.0
2239,id_4_7_001331,2019-10-30 20:51:23.957468672,4866,946,3492,24027.0
2240,id_4_7_001339,2019-10-30 20:56:49.146405120,4866,1511,3492,24353.0
2241,id_4_7_001340_cov,2019-10-30 20:57:06.774238976,4867,474,3493,24370.0
2242,id_4_7_001344_cov,2019-10-30 21:00:20.448414208,4867,786,3493,24564.0
2243,id_4_7_001362,2019-10-30 21:11:42.721985536,4867,777,3493,25246.0
2244,id_4_7_001367_cov,2019-10-30 21:17:50.382508800,4867,901,3493,25614.0
2245,id_4_7_001369,2019-10-30 21:22:52.083648256,4867,1055,3493,25916.0
2246,id_4_8_001283,2019-10-30 19:59:49.010596352,4867,1013,3493,20932.0
2247,id_4_8_001296_cov,2019-10-30 20:12:18.687545856,4867,1014,3493,21682.0
2248,id_4_8_001320,2019-10-30 20:42:33.166468352,4867,1358,3493,23497.0
2249,id_4_8_001324,2019-10-30 20:47:03.759919872,4867,944,3493,23767.0
2250,id_4_9_001303,2019-10-30 20:20:09.903118848,4867,1028,3493,22153.0
2251,id_4_9_001338,2019-10-30 20:55:07.071366912,4867,1406,3493,24251.0
2252,id_4_9_001346_cov,2019-10-30 21:03:02.558886656,4870,754,3496,24726.0
2253,id_5_001396_cov,2019-10-30 22:17:01.964991744,4871,504,3497,29165.0
2254,id_5_001403_cov,2019-10-30 22:19:23.127660800,4871,873,3497,29307.0
2255,id_5_001404,2019-10-30 22:19:23.263659520,4871,1011,3497,29307.0
2256,id_5_001408,2019-10-30 22:20:04.643269376,4871,1636,3497,29348.0
2257,id_5_001409,2019-10-30 22:20:04.815267840,4871,924,3497,29348.0
2258,id_5_001416,2019-10-30 22:24:51.276574976,4871,511,3497,29635.0
2259,id_5_001443,2019-10-30 22:40:13.743930368,4871,658,3497,30557.0
2260,id_5_001452,2019-10-30 22:51:10.113755648,4871,631,3497,31214.0
2261,id_5_001461,2019-10-30 23:02:06.327578368,4871,1635,3497,31870.0
2262,id_5_0_001393,2019-10-30 22:15:36.377798912,4871,1708,3497,29080.0
2263,id_5_0_001428,2019-10-30 22:33:44.635585024,4871,859,3497,30168.0
2264,id_5_0_001456,2019-10-30 22:56:01.203015680,4871,1765,3497,31505.0
2265,id_5_0_001458,2019-10-30 22:59:21.625128960,4871,1696,3497,31705.0
2266,id_5_10_001374,2019-10-30 21:29:21.131968768,4871,977,3497,26305.0
2267,id_5_10_001375,2019-10-30 21:29:37.939810048,4871,971,3497,26321.0
2268,id_5_11_001383,2019-10-30 22:03:21.344728576,4871,605,3497,28345.0
2269,id_5_11_001384,2019-10-30 22:03:21.360728320,4871,600,3497,28345.0
2270,id_5_11_001410,2019-10-30 22:21:51.022266112,4871,545,3497,29454.0
2271,id_5_11_001438_cov,2019-10-30 22:37:31.125458432,4872,494,3498,30395.0
2272,id_5_1_001397,2019-10-30 22:18:05.924388608,4872,1411,3498,29229.0
2273,id_5_1_001398,2019-10-30 22:18:05.940388608,4872,1464,3498,29229.0
2274,id_5_1_001399,2019-10-30 22:18:05.964388352,4872,1415,3498,29229.0
2275,id_5_1_001400,2019-10-30 22:18:05.964388352,4872,1509,3498,29229.0
2276,id_5_1_001411_cov,2019-10-30 22:23:32.669307648,4873,1023,3499,29556.0
2277,id_5_2_001371,2019-10-30 21:27:20.029113344,4873,923,3499,26183.0
2278,id_5_2_001379,2019-10-30 21:48:02.045387264,4873,766,3499,27426.0
2279,id_5_2_001380,2019-10-30 21:48:02.045387264,4873,766,3499,27426.0
2280,id_5_2_001415,2019-10-30 22:24:31.552759040,4873,997,3499,29615.0
2281,id_5_2_001439,2019-10-30 22:38:09.073102080,4873,928,3499,30433.0
2282,id_5_2_001446,2019-10-30 22:42:00.646925312,4873,1034,3499,30664.0
2283,id_5_3_001376,2019-10-30 21:36:41.315811328,4873,892,3499,26745.0
